"response_id","type","frequency"
"GEN24_1000498","Rude behaviour from locals","1 - Never"
"GEN24_1000498","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000502","Crime or theft","1 - Never"
"GEN24_1000502","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000502","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000502","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000502","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000502","Rude behaviour from locals","2 - Sometimes"
"GEN24_1000502","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000508","Crime or theft","1 - Never"
"GEN24_1000508","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000508","Litter/waste on the streets","1 - Never"
"GEN24_1000508","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000508","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000508","Rude behaviour from locals","1 - Never"
"GEN24_1000508","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000510","Crime or theft","1 - Never"
"GEN24_1000510","Dangerous driving, including speeding and drink driving","Don't know/ Not applicable"
"GEN24_1000510","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000510","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000510","Overcrowded vehicle parking lot","Don't know/ Not applicable"
"GEN24_1000510","Rude behaviour from locals","1 - Never"
"GEN24_1000510","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","Don't know/ Not applicable"
"GEN24_1000511","Crime or theft","Don't know/ Not applicable"
"GEN24_1000511","Dangerous driving, including speeding and drink driving","Don't know/ Not applicable"
"GEN24_1000511","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000511","Overcrowded sightseeing spot","Don't know/ Not applicable"
"GEN24_1000511","Overcrowded vehicle parking lot","Don't know/ Not applicable"
"GEN24_1000511","Rude behaviour from locals","Don't know/ Not applicable"
"GEN24_1000511","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","Don't know/ Not applicable"
"GEN24_1000518","Crime or theft","1 - Never"
"GEN24_1000518","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000518","Litter/waste on the streets","1 - Never"
"GEN24_1000518","Overcrowded sightseeing spot","2 - Sometimes"
"GEN24_1000518","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000518","Rude behaviour from locals","1 - Never"
"GEN24_1000518","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000521","Crime or theft","1 - Never"
"GEN24_1000521","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000521","Litter/waste on the streets","1 - Never"
"GEN24_1000521","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000521","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000521","Rude behaviour from locals","1 - Never"
"GEN24_1000521","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000522","Crime or theft","1 - Never"
"GEN24_1000522","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000522","Litter/waste on the streets","1 - Never"
"GEN24_1000522","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000522","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000522","Rude behaviour from locals","1 - Never"
"GEN24_1000522","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","Don't know/ Not applicable"
"GEN24_1000523","Crime or theft","1 - Never"
"GEN24_1000523","Dangerous driving, including speeding and drink driving","2 - Sometimes"
"GEN24_1000523","Litter/waste on the streets","1 - Never"
"GEN24_1000523","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000523","Overcrowded vehicle parking lot","3 - Most of the times"
"GEN24_1000523","Rude behaviour from locals","1 - Never"
"GEN24_1000523","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000524","Crime or theft","1 - Never"
"GEN24_1000524","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000524","Litter/waste on the streets","1 - Never"
"GEN24_1000524","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000524","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000524","Rude behaviour from locals","1 - Never"
"GEN24_1000524","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000528","Crime or theft","1 - Never"
"GEN24_1000528","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000528","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000528","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000528","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000528","Rude behaviour from locals","1 - Never"
