"response_id","factor_for_visit","is_top_three"
"GEN24_1000729","Its environmentally friendly image",TRUE
"GEN24_1000729","Its landscapes and scenery",FALSE
"GEN24_1000729","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1000729","New Zealand's food and wine",FALSE
"GEN24_1000729","Sports events or activities",FALSE
"GEN24_1000729","The variety of outdoor and adventure activities",TRUE
"GEN24_1000731","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000731","I've always wanted to visit",TRUE
"GEN24_1000731","Its landscapes and scenery",TRUE
"GEN24_1000731","Sports events or activities",TRUE
"GEN24_1000736","Work / business",FALSE
"GEN24_1000739","The variety of outdoor and adventure activities",FALSE
"GEN24_1000746","Work / business",FALSE
"GEN24_1000748","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000760","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1000760","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",TRUE
"GEN24_1000760","New Zealand was a safe place to visit as it is less crowded than most other places",TRUE
"GEN24_1000760","New Zealand's food and wine",FALSE
"GEN24_1000766","Work / business",FALSE
"GEN24_1000778","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000781","Work / business",FALSE
"GEN24_1000783","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000789","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1000789","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000790","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000791","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000792","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000793","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000797","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000804","Its landscapes and scenery",FALSE
"GEN24_1000804","The variety of outdoor and adventure activities",FALSE
"GEN24_1000807","It was somewhere new, I had never been there before",FALSE
"GEN24_1000807","Its landscapes and scenery",FALSE
"GEN24_1000821","I've always wanted to visit",FALSE
"GEN24_1000821","It was somewhere new, I had never been there before",FALSE
"GEN24_1000821","Its landscapes and scenery",FALSE
"GEN24_1000821","Sports events or activities",FALSE
"GEN24_1000821","The Hobbit and Lord of the Ring Movies",TRUE
"GEN24_1000823","I saw a show or segment featuring New Zealand on TV",FALSE
"GEN24_1000823","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000823","The Hobbit and Lord of the Ring Movies",FALSE
"GEN24_1000824","Work / business",FALSE
"GEN24_1000826","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000828","Work / business",FALSE
"GEN24_1000829","Work / business",FALSE
"GEN24_1000837","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1000837","The variety of outdoor and adventure activities",FALSE
"GEN24_1000844","I saw or found a good deal on flights to New Zealand/ a good travel package to New Zealand",FALSE
"GEN24_1000844","I've always wanted to visit",FALSE
"GEN24_1000844","Its landscapes and scenery",FALSE
"GEN24_1000844","The variety of outdoor and adventure activities",TRUE
"GEN24_1000853","Friends, family or colleagues talked about or recommended New Zealand",TRUE
"GEN24_1000853","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000853","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1000853","Its environmentally friendly image",FALSE
"GEN24_1000853","Its landscapes and scenery",TRUE
"GEN24_1000853","The Hobbit and Lord of the Ring Movies",FALSE
"GEN24_1000853","The variety of outdoor and adventure activities",TRUE
"GEN24_1000857","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000864","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",TRUE
"GEN24_1000864","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1000864","I've always wanted to visit",TRUE
"GEN24_1000864","It was somewhere new, I had never been there before",FALSE
"GEN24_1000864","Its landscapes and scenery",TRUE
"GEN24_1000865","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000868","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000869","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000870","I've always wanted to visit",FALSE
"GEN24_1000871","I saw a show or segment featuring New Zealand on TV",FALSE
"GEN24_1000871","I've always wanted to visit",TRUE
"GEN24_1000871","It was somewhere new, I had never been there before",FALSE
"GEN24_1000871","Its landscapes and scenery",TRUE
"GEN24_1000873","Work / business",FALSE
"GEN24_1000877","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000879","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000879","Its landscapes and scenery",FALSE
"GEN24_1000884","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1000884","Its landscapes and scenery",TRUE
"GEN24_1000884","New Zealand's food and wine",TRUE
"GEN24_1000884","Sports events or activities",FALSE
"GEN24_1000884","The variety of outdoor and adventure activities",FALSE
"GEN24_1000890","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000902","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000904","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1000904","I read about New Zealand in online articles, travel forums, blogs, social networking sites, etc",TRUE
"GEN24_1000904","Its landscapes and scenery",FALSE
"GEN24_1000904","New Zealand was a safe place to visit as it is less crowded than most other places",TRUE
"GEN24_1000904","Sports events or activities",FALSE
"GEN24_1000907","Its landscapes and scenery",FALSE
"GEN24_1000916","Its landscapes and scenery",FALSE
"GEN24_1000916","The variety of outdoor and adventure activities",FALSE
"GEN24_1000918","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1000918","I've always wanted to visit",FALSE
"GEN24_1000918","The variety of outdoor and adventure activities",FALSE
"GEN24_1000927","I've always wanted to visit",FALSE
"GEN24_1000927","My travel agent talked about or recommended New Zealand",FALSE
"GEN24_1000928","The variety of outdoor and adventure activities",FALSE
"GEN24_1000937","Its landscapes and scenery",FALSE
"GEN24_1000937","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1000945","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000945","It was somewhere new, I had never been there before",FALSE
"GEN24_1000945","Its landscapes and scenery",FALSE
"GEN24_1000950","Friends, family or colleagues talked about or recommended New Zealand",TRUE
"GEN24_1000950","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1000950","I've always wanted to visit",TRUE
"GEN24_1000950","It was somewhere new, I had never been there before",FALSE
"GEN24_1000950","New Zealand's food and wine",FALSE
"GEN24_1000950","The variety of outdoor and adventure activities",TRUE
"GEN24_1000963","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000964","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000977","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000977","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000980","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1000982","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000986","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000989","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000991","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000992","I wanted to see the unique indigenous Maori culture",FALSE
"GEN24_1000992","Its landscapes and scenery",FALSE
"GEN24_1000998","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000998","The variety of outdoor and adventure activities",FALSE
"GEN24_1001003","Its landscapes and scenery",FALSE
"GEN24_1001003","The Hobbit and Lord of the Ring Movies",FALSE
"GEN24_1001004","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001011","Sports events or activities",FALSE
"GEN24_1001018","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001020","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1001020","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001021","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001023","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001038","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001047","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001047","I read about New Zealand in online articles, travel forums, blogs, social networking sites, etc",FALSE
"GEN24_1001047","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001047","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1001047","Its environmentally friendly image",FALSE
"GEN24_1001047","Its landscapes and scenery",TRUE
"GEN24_1001047","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001047","The variety of outdoor and adventure activities",TRUE
"GEN24_1001047","Work / business",TRUE
"GEN24_1001056","None of these",FALSE
"GEN24_1001059","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1001059","It was somewhere new, I had never been there before",FALSE
"GEN24_1001059","Its landscapes and scenery",FALSE
"GEN24_1001060","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1001060","Its environmentally friendly image",FALSE
"GEN24_1001060","Its landscapes and scenery",TRUE
"GEN24_1001060","Sports events or activities",FALSE
"GEN24_1001060","The variety of outdoor and adventure activities",TRUE
"GEN24_1001061","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001068","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001068","Work / business",FALSE
"GEN24_1001074","The variety of outdoor and adventure activities",FALSE
"GEN24_1001077","I've always wanted to visit",FALSE
"GEN24_1001077","It was somewhere new, I had never been there before",TRUE
"GEN24_1001077","Its landscapes and scenery",TRUE
"GEN24_1001077","Sports events or activities",TRUE
"GEN24_1001088","Its environmentally friendly image",TRUE
"GEN24_1001088","Its landscapes and scenery",TRUE
"GEN24_1001088","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001088","The variety of outdoor and adventure activities",TRUE
"GEN24_1001089","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001090","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1001094","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001100","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001106","I read about New Zealand in a newspaper, or magazine",FALSE
"GEN24_1001106","I've always wanted to visit",FALSE
"GEN24_1001106","Its environmentally friendly image",TRUE
"GEN24_1001106","New Zealand was a safe place to visit as it is less crowded than most other places",TRUE
"GEN24_1001106","New Zealand's food and wine",FALSE
"GEN24_1001106","Sports events or activities",TRUE
"GEN24_1001111","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001112","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001113","Work / business",FALSE
"GEN24_1001116","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001116","It was somewhere new, I had never been there before",FALSE
"GEN24_1001119","Work / business",FALSE
"GEN24_1001120","Work / business",FALSE
"GEN24_1001125","Work / business",FALSE
"GEN24_1001130","I saw or found a good deal on flights to New Zealand/ a good travel package to New Zealand",TRUE
"GEN24_1001130","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1001130","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1001130","Its landscapes and scenery",FALSE
"GEN24_1001130","New Zealand was a safe place to visit as it is less crowded than most other places",TRUE
"GEN24_1001130","New Zealand's food and wine",FALSE
"GEN24_1001135","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001139","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001151","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001158","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001160","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001161","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001164","Work / business",FALSE
"GEN24_1001168","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001169","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001169","Its landscapes and scenery",FALSE
"GEN24_1001169","New Zealand's food and wine",FALSE
"GEN24_1001176","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001178","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001178","The Hobbit and Lord of the Ring Movies",FALSE
"GEN24_1001182","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001183","I've always wanted to visit",FALSE
"GEN24_1001187","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001191","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1001191","Its landscapes and scenery",TRUE
"GEN24_1001191","New Zealand was a safe place to visit as it is less crowded than most other places",TRUE
"GEN24_1001191","New Zealand's food and wine",FALSE
"GEN24_1001192","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001209","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001221","I saw or found a good deal on flights to New Zealand/ a good travel package to New Zealand",TRUE
"GEN24_1001221","Its landscapes and scenery",TRUE
"GEN24_1001221","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001221","The variety of outdoor and adventure activities",TRUE
"GEN24_1001223","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",TRUE
"GEN24_1001223","Its environmentally friendly image",FALSE
"GEN24_1001223","New Zealand was a safe place to visit as it is less crowded than most other places",TRUE
"GEN24_1001223","New Zealand's food and wine",FALSE
"GEN24_1001223","The variety of outdoor and adventure activities",TRUE
"GEN24_1001226","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1001226","Its landscapes and scenery",TRUE
"GEN24_1001226","The Hobbit and Lord of the Ring Movies",FALSE
"GEN24_1001226","The variety of outdoor and adventure activities",TRUE
"GEN24_1001230","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001234","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001234","I've always wanted to visit",FALSE
"GEN24_1001234","Its landscapes and scenery",FALSE
"GEN24_1001235","I've always wanted to visit",FALSE
"GEN24_1001235","It was somewhere new, I had never been there before",FALSE
"GEN24_1001235","The variety of outdoor and adventure activities",FALSE
"GEN24_1001237","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001237","The variety of outdoor and adventure activities",FALSE
"GEN24_1001248","Sports events or activities",FALSE
"GEN24_1001248","The variety of outdoor and adventure activities",FALSE
"GEN24_1001253","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001256","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001256","Sports events or activities",FALSE
"GEN24_1001257","I wanted to see the unique indigenous Maori culture",FALSE
"GEN24_1001257","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1001257","I've always wanted to visit",TRUE
"GEN24_1001257","It was somewhere new, I had never been there before",TRUE
"GEN24_1001257","Its landscapes and scenery",TRUE
"GEN24_1001257","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001257","The variety of outdoor and adventure activities",FALSE
"GEN24_1001258","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001262","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001263","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001267","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001272","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001272","I read about New Zealand in a newspaper, or magazine",FALSE
"GEN24_1001272","I read about New Zealand in online articles, travel forums, blogs, social networking sites, etc",FALSE
"GEN24_1001272","I saw a show or segment featuring New Zealand on TV",FALSE
"GEN24_1001272","I saw or found a good deal on flights to New Zealand/ a good travel package to New Zealand",FALSE
"GEN24_1001272","I wanted to see the unique indigenous Maori culture",FALSE
"GEN24_1001272","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1001272","Its environmentally friendly image",FALSE
"GEN24_1001272","Its landscapes and scenery",TRUE
"GEN24_1001272","My travel agent talked about or recommended New Zealand",FALSE
"GEN24_1001272","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001272","New Zealand's food and wine",FALSE
"GEN24_1001272","Other movies that were filmed in New Zealand",FALSE
"GEN24_1001272","Sports events or activities",TRUE
"GEN24_1001272","The Hobbit and Lord of the Ring Movies",FALSE
"GEN24_1001272","The variety of outdoor and adventure activities",TRUE
"GEN24_1001277","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1001281","I've always wanted to visit",FALSE
"GEN24_1001281","Its landscapes and scenery",FALSE
"GEN24_1001281","Other movies that were filmed in New Zealand",FALSE
"GEN24_1001282","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001282","I wanted to visit friends or family in New Zealand",TRUE
"GEN24_1001282","New Zealand's food and wine",TRUE
"GEN24_1001282","Sports events or activities",TRUE
"GEN24_1001297","Its landscapes and scenery",FALSE
"GEN24_1001297","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001297","The variety of outdoor and adventure activities",FALSE
"GEN24_1001313","Friends, family or colleagues talked about or recommended New Zealand",TRUE
"GEN24_1001313","I wanted to see the unique indigenous Maori culture",TRUE
"GEN24_1001313","I've always wanted to visit",FALSE
"GEN24_1001313","Its environmentally friendly image",TRUE
"GEN24_1001313","Its landscapes and scenery",FALSE
"GEN24_1001313","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001315","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001315","Its landscapes and scenery",TRUE
"GEN24_1001315","Sports events or activities",FALSE
"GEN24_1001315","The variety of outdoor and adventure activities",FALSE
"GEN24_1001316","Friends, family or colleagues talked about or recommended New Zealand",FALSE
"GEN24_1001316","Its landscapes and scenery",FALSE
"GEN24_1001316","The Hobbit and Lord of the Ring Movies",FALSE
"GEN24_1001317","New Zealand was a safe place to visit as it is less crowded than most other places",FALSE
"GEN24_1001317","Sports events or activities",FALSE
"GEN24_1001325","Its landscapes and scenery",FALSE
"GEN24_1001350","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001355","Work / business",FALSE
"GEN24_1001362","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1001367","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001367","I was confident there would be health and hygiene measures in New Zealand to help protect against COVID-19",FALSE
"GEN24_1001367","Its landscapes and scenery",FALSE
"GEN24_1001370","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1001385","I wanted to visit friends or family in New Zealand",FALSE
