"response_id","accomm_type_used"
"GEN24_1000739","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000746","Hotel"
"GEN24_1000746","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000748","Hotel"
"GEN24_1000748","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000748","Staying with family or friends"
"GEN24_1000760","Bed and Breakfast"
"GEN24_1000760","Farm-stay or Home-stay"
"GEN24_1000760","Hotel"
"GEN24_1000760","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000766","Hotel"
"GEN24_1000778","Staying with family or friends"
"GEN24_1000781","Hotel"
"GEN24_1000781","House / flat that you paid some rent for"
"GEN24_1000781","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000781","Staying with family or friends"
"GEN24_1000783","Staying with family or friends"
"GEN24_1000788","Staying with family or friends"
"GEN24_1000789","Hotel"
"GEN24_1000789","Staying with family or friends"
"GEN24_1000790","Hotel"
"GEN24_1000790","Staying with family or friends"
"GEN24_1000791","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000791","Staying with family or friends"
"GEN24_1000792","Staying with family or friends"
"GEN24_1000793","Staying with family or friends"
"GEN24_1000797","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000797","Staying with family or friends"
"GEN24_1000804","Hotel"
"GEN24_1000807","Hotel"
"GEN24_1000821","Other accommodation"
"GEN24_1000823","Staying with family or friends"
"GEN24_1000824","Hotel"
"GEN24_1000824","Staying with family or friends"
"GEN24_1000826","Staying with family or friends"
"GEN24_1000828","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000829","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000837","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000844","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000852","Hotel"
"GEN24_1000853","Another place where you pay to park a caravan or campervan / motorhome overnight"
"GEN24_1000853","Other (paid) camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)"
"GEN24_1000853","Staying with family or friends"
"GEN24_1000857","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000857","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000857","Staying with family or friends"
"GEN24_1000864","Hotel"
"GEN24_1000865","Hotel"
"GEN24_1000868","House / flat that you paid some rent for"
"GEN24_1000868","Staying with family or friends"
"GEN24_1000869","Staying with family or friends"
"GEN24_1000870","Hotel"
"GEN24_1000870","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000870","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000871","Hotel"
"GEN24_1000873","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000877","Staying with family or friends"
"GEN24_1000879","Staying with family or friends"
"GEN24_1000884","Hotel"
"GEN24_1000884","Staying with family or friends"
"GEN24_1000890","Staying with family or friends"
"GEN24_1000900","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000902","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000902","Staying with family or friends"
"GEN24_1000904","Hotel"
"GEN24_1000904","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000904","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000904","Other (paid) camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)"
"GEN24_1000907","Bed and Breakfast"
"GEN24_1000907","Hotel"
"GEN24_1000907","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000907","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000916","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000918","Hotel"
"GEN24_1000927","Hotel"
"GEN24_1000928","Hotel"
"GEN24_1000937","Backpackers"
"GEN24_1000937","Camping at a National Park / Department of Conservation camping ground"
"GEN24_1000937","Marae"
"GEN24_1000945","Hotel"
"GEN24_1000948","Staying with family or friends"
"GEN24_1000950","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000963","Hotel"
"GEN24_1000963","Staying with family or friends"
"GEN24_1000964","Staying with family or friends"
"GEN24_1000969","Backpackers"
"GEN24_1000969","Hotel"
"GEN24_1000969","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000969","Youth Hostel, YMCA, YWCA"
"GEN24_1000970","Hotel"
"GEN24_1000970","In a hut at a National Park / Department of Conservation area"
"GEN24_1000970","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000970","Youth Hostel, YMCA, YWCA"
"GEN24_1000977","Staying with family or friends"
"GEN24_1000980","House / flat that you paid some rent for"
"GEN24_1000982","Staying with family or friends"
"GEN24_1000984","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000984","Staying with family or friends"
"GEN24_1000986","Staying with family or friends"
"GEN24_1000989","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000989","Staying with family or friends"
"GEN24_1000991","Staying with family or friends"
"GEN24_1000992","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000998","Hotel"
"GEN24_1000998","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000998","Staying with family or friends"
"GEN24_1001001","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001003","Hotel"
"GEN24_1001003","House / flat that you paid some rent for"
"GEN24_1001003","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001004","Staying with family or friends"
"GEN24_1001011","A house/ flat/ apartment/ timeshare you own"
"GEN24_1001011","Backpackers"
"GEN24_1001018","Bed and Breakfast"
"GEN24_1001018","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001018","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001020","Staying with family or friends"
"GEN24_1001021","Bed and Breakfast"
"GEN24_1001021","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001021","Staying with family or friends"
"GEN24_1001023","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001023","Staying with family or friends"
"GEN24_1001027","Hotel"
"GEN24_1001027","Staying with family or friends"
"GEN24_1001038","Other accommodation"
"GEN24_1001038","Staying with family or friends"
"GEN24_1001043","Staying with family or friends"
"GEN24_1001047","Bed and Breakfast"
"GEN24_1001047","Hotel"
"GEN24_1001047","House / flat that you paid some rent for"
"GEN24_1001047","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001047","In a hut at a National Park / Department of Conservation area"
"GEN24_1001047","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001047","Other (paid) camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)"
"GEN24_1001056","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001059","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001060","Hotel"
"GEN24_1001061","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001061","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001065","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001065","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001068","Backpackers"
"GEN24_1001068","Camping at a National Park / Department of Conservation camping ground"
"GEN24_1001068","Hotel"
"GEN24_1001068","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001068","Other (paid) camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)"
"GEN24_1001068","Staying with family or friends"
"GEN24_1001069","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001074","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001077","Hotel"
"GEN24_1001083","House / flat that you paid some rent for"
"GEN24_1001083","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001083","Staying with family or friends"
"GEN24_1001088","Backpackers"
"GEN24_1001088","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001088","Staying with family or friends"
"GEN24_1001089","Staying with family or friends"
"GEN24_1001090","Staying with family or friends"
"GEN24_1001094","Staying with family or friends"
"GEN24_1001100","Staying with family or friends"
"GEN24_1001106","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001111","Staying with family or friends"
"GEN24_1001112","Hotel"
"GEN24_1001112","Staying with family or friends"
"GEN24_1001113","Hotel"
"GEN24_1001113","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001116","House / flat that you paid some rent for"
"GEN24_1001116","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001116","Staying with family or friends"
"GEN24_1001119","Hotel"
"GEN24_1001120","Hotel"
"GEN24_1001125","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001130","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001135","Staying with family or friends"
"GEN24_1001139","Staying with family or friends"
"GEN24_1001148","Hotel"
"GEN24_1001151","Staying with family or friends"
"GEN24_1001158","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001158","Staying with family or friends"
"GEN24_1001160","Staying with family or friends"
"GEN24_1001161","Staying with family or friends"
"GEN24_1001164","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001168","Staying with family or friends"
"GEN24_1001169","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001169","Staying with family or friends"
"GEN24_1001170","Staying with family or friends"
"GEN24_1001176","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001176","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001176","Staying with family or friends"
"GEN24_1001178","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001178","Staying with family or friends"
"GEN24_1001182","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001182","Staying with family or friends"
"GEN24_1001183","Youth Hostel, YMCA, YWCA"
"GEN24_1001187","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001187","Staying with family or friends"
"GEN24_1001188","Hotel"
"GEN24_1001191","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001191","Staying with family or friends"
"GEN24_1001192","Hotel"
"GEN24_1001192","Staying with family or friends"
"GEN24_1001201","Farm-stay or Home-stay"
"GEN24_1001201","Hotel"
"GEN24_1001201","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001201","Other accommodation"
"GEN24_1001209","Staying with family or friends"
"GEN24_1001221","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001223","Backpackers"
"GEN24_1001226","Backpackers"
"GEN24_1001226","Staying with family or friends"
"GEN24_1001228","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001230","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001234","Hotel"
"GEN24_1001234","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001235","Hotel"
"GEN24_1001237","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001242","Staying with family or friends"
"GEN24_1001248","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001248","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001253","Staying with family or friends"
"GEN24_1001256","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001256","Motel, Motor Inn or Serviced Apartment"
