"response_id","travelled_with"
"GEN24_1001065","Other adult family / relative"
"GEN24_1001068","No one, I was on my own"
"GEN24_1001069","Other adult(s) who are not family / relatives"
"GEN24_1001072","Child/children aged 15 or older"
"GEN24_1001072","My husband, wife or partner"
"GEN24_1001074","Other adult(s) who are not family / relatives"
"GEN24_1001077","Other adult(s) who are not family / relatives"
"GEN24_1001079","My husband, wife or partner"
"GEN24_1001083","No one, I was on my own"
"GEN24_1001084","Other adult(s) who are not family / relatives"
"GEN24_1001088","My husband, wife or partner"
"GEN24_1001089","No one, I was on my own"
"GEN24_1001090","No one, I was on my own"
"GEN24_1001094","Child/children aged 15 or older"
"GEN24_1001100","Other adult family / relative"
"GEN24_1001102","No one, I was on my own"
"GEN24_1001106","My husband, wife or partner"
"GEN24_1001110","My husband, wife or partner"
"GEN24_1001111","No one, I was on my own"
"GEN24_1001112","No one, I was on my own"
"GEN24_1001113","Other adult(s) who are not family / relatives"
"GEN24_1001116","My husband, wife or partner"
"GEN24_1001119","No one, I was on my own"
"GEN24_1001120","Other adult(s) who are not family / relatives"
"GEN24_1001125","Other adult(s) who are not family / relatives"
"GEN24_1001130","Child/children aged under 15"
"GEN24_1001130","My husband, wife or partner"
"GEN24_1001135","No one, I was on my own"
"GEN24_1001139","Child/children aged under 15"
"GEN24_1001139","My husband, wife or partner"
"GEN24_1001143","Other adult(s) who are not family / relatives"
"GEN24_1001148","No one, I was on my own"
"GEN24_1001151","No one, I was on my own"
"GEN24_1001158","My husband, wife or partner"
"GEN24_1001160","Child/children aged under 15"
"GEN24_1001160","Other adult family / relative"
"GEN24_1001160","Other adult(s) who are not family / relatives"
"GEN24_1001161","No one, I was on my own"
"GEN24_1001164","No one, I was on my own"
"GEN24_1001168","Child/children aged under 15"
"GEN24_1001168","My husband, wife or partner"
"GEN24_1001169","My husband, wife or partner"
"GEN24_1001170","Child/children aged under 15"
"GEN24_1001170","My husband, wife or partner"
"GEN24_1001176","Child/children aged 15 or older"
"GEN24_1001176","My husband, wife or partner"
"GEN24_1001178","No one, I was on my own"
"GEN24_1001182","No one, I was on my own"
"GEN24_1001183","No one, I was on my own"
"GEN24_1001187","No one, I was on my own"
"GEN24_1001188","No one, I was on my own"
"GEN24_1001191","Other adult family / relative"
"GEN24_1001192","My husband, wife or partner"
"GEN24_1001193","No one, I was on my own"
"GEN24_1001201","No one, I was on my own"
"GEN24_1001209","No one, I was on my own"
"GEN24_1001218","No one, I was on my own"
"GEN24_1001221","Child/children aged 15 or older"
"GEN24_1001221","Child/children aged under 15"
"GEN24_1001221","My husband, wife or partner"
"GEN24_1001223","No one, I was on my own"
"GEN24_1001226","My husband, wife or partner"
"GEN24_1001228","My husband, wife or partner"
"GEN24_1001228","Other adult family / relative"
"GEN24_1001230","My husband, wife or partner"
"GEN24_1001230","Other adult family / relative"
"GEN24_1001234","My husband, wife or partner"
"GEN24_1001235","My husband, wife or partner"
"GEN24_1001237","Other adult(s) who are not family / relatives"
"GEN24_1001242","My husband, wife or partner"
"GEN24_1001245","My husband, wife or partner"
"GEN24_1001248","Child/children aged 15 or older"
"GEN24_1001248","My husband, wife or partner"
"GEN24_1001253","No one, I was on my own"
"GEN24_1001256","Child/children aged under 15"
"GEN24_1001257","My husband, wife or partner"
"GEN24_1001258","No one, I was on my own"
"GEN24_1001262","My husband, wife or partner"
"GEN24_1001263","No one, I was on my own"
"GEN24_1001264","Other adult(s) who are not family / relatives"
"GEN24_1001267","My husband, wife or partner"
"GEN24_1001272","My husband, wife or partner"
"GEN24_1001277","My husband, wife or partner"
"GEN24_1001281","My husband, wife or partner"
"GEN24_1001282","No one, I was on my own"
"GEN24_1001297","My husband, wife or partner"
"GEN24_1001313","My husband, wife or partner"
"GEN24_1001315","Other adult(s) who are not family / relatives"
"GEN24_1001316","My husband, wife or partner"
"GEN24_1001317","Other adult(s) who are not family / relatives"
"GEN24_1001325","Other adult(s) who are not family / relatives"
"GEN24_1001332","My husband, wife or partner"
"GEN24_1001336","My husband, wife or partner"
"GEN24_1001338","My husband, wife or partner"
"GEN24_1001350","No one, I was on my own"
"GEN24_1001355","No one, I was on my own"
"GEN24_1001360","My husband, wife or partner"
"GEN24_1001362","Other adult family / relative"
"GEN24_1001367","No one, I was on my own"
"GEN24_1001368","Child/children aged 15 or older"
"GEN24_1001370","Child/children aged 15 or older"
"GEN24_1001379","Child/children aged 15 or older"
"GEN24_1001385","No one, I was on my own"
"GEN24_1001386","No one, I was on my own"
