==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
      transport_drove_themselves < 0.5          to the right, agree=0.714, adj=0.385, (0 split)
      age_range                  splits as  LLLLLLRRRRRRRR, agree=0.679, adj=0.308, (0 split)
      treated_spend_capped       < 3115.708     to the right, agree=0.679, adj=0.308, (0 split)
      share_cost_shopping        < 0.05652596   to the left,  agree=0.679, adj=0.308, (0 split)

Node number 4823: 7 observations
  mean=10, MSE=0 

Node number 4824: 12 observations
  mean=7.583333, MSE=3.909722 

Node number 4825: 78 observations,    complexity param=0.0003539578
  mean=8.961538, MSE=2.498521 
  left son=9650 (32 obs) right son=9651 (46 obs)
  Primary splits:
      arrival_location                                                                                                                      splits as  RRL-L-, improve=0.09578603, (0 missing)
      share_cost_entertainment                                                                                                              < 0.07879741   to the right, improve=0.09262549, (0 missing)
      share_cost_shopping                                                                                                                   < 0.01380455   to the right, improve=0.07807068, (0 missing)
      accomm_house_flat_apartment_booked_through_an_online_website_including_booking_com_air_bn_b_home_swap_home_stay_hotel_com_expedia_etc < 0.5          to the left,  improve=0.05887999, (0 missing)
      departure_location                                                                                                                    splits as  -RLL-, improve=0.04883107, (0 missing)
  Surrogate splits:
      departure_location          splits as  -RLL-, agree=0.833, adj=0.594, (0 split)
      itinerary_region_canterbury < 0.5          to the left,  agree=0.821, adj=0.562, (0 split)
      itinerary_region_wellington < 0.5          to the right, agree=0.795, adj=0.500, (0 split)
      treated_spend_capped        < 3127.071     to the right, agree=0.705, adj=0.281, (0 split)
      share_cost_shopping         < 0.1097744    to the right, agree=0.667, adj=0.187, (0 split)

Node number 4826: 105 observations,    complexity param=0.0002641202
  mean=9.142857, MSE=1.303401 
  left son=9652 (25 obs) right son=9653 (80 obs)
  Primary splits:
      first_nz_trip          splits as  RL-, improve=0.06062630, (0 missing)
      share_cost_accomm      < 0.5970003    to the right, improve=0.05319907, (0 missing)
      share_cost_shopping    < 0.02800449   to the left,  improve=0.03935930, (0 missing)
      share_cost_dom_flights < 0.1863068    to the right, improve=0.03730791, (0 missing)
      share_cost_dom_travel  < 0.1081113    to the right, improve=0.03508467, (0 missing)
  Surrogate splits:
      transport_train                               < 0.5          to the right, agree=0.790, adj=0.12, (0 split)
      accomm_house_flat_that_you_paid_some_rent_for < 0.5          to the right, agree=0.781, adj=0.08, (0 split)
      transport_limousine_car_with_driver_included  < 0.5          to the right, agree=0.781, adj=0.08, (0 split)
      treated_spend_capped                          < 8025.551     to the right, agree=0.781, adj=0.08, (0 split)
      no_days_in_nz                                 < 1.5          to the left,  agree=0.771, adj=0.04, (0 split)

Node number 4827: 10 observations
  mean=10, MSE=0 

Node number 5360: 16 observations
  mean=6.5625, MSE=6.871094 

Node number 5361: 15 observations
  mean=8.6, MSE=2.106667 

Node number 5372: 53 observations,    complexity param=0.0004242844
  mean=8.45283, MSE=2.92702 
  left son=10744 (23 obs) right son=10745 (30 obs)
  Primary splits:
      share_cost_accomm                                 < 0.07689746   to the right, improve=0.16790870, (0 missing)
      accomm_hotel                                      < 0.5          to the right, improve=0.14723500, (0 missing)
      share_cost_eating_out                             < 0.4779202    to the left,  improve=0.14411480, (0 missing)
      transport_app_based_services_such_as_uber_ola_etc < 0.5          to the right, improve=0.08806888, (0 missing)
      share_cost_car_rentals                            < 0.09429738   to the right, improve=0.06981355, (0 missing)
  Surrogate splits:
      accomm_hotel                                 < 0.5          to the right, agree=0.755, adj=0.435, (0 split)
      itinerary_region_auckland                    < 0.5          to the right, agree=0.736, adj=0.391, (0 split)
      departure_location                           splits as  LRRR-, agree=0.717, adj=0.348, (0 split)
      share_cost_food_drink                        < 0.0009879359 to the right, agree=0.717, adj=0.348, (0 split)
      accomm_motel_motor_inn_or_serviced_apartment < 0.5          to the right, agree=0.698, adj=0.304, (0 split)

Node number 5373: 145 observations,    complexity param=0.0004242844
  mean=9.096552, MSE=2.183781 
  left son=10746 (22 obs) right son=10747 (123 obs)
  Primary splits:
      share_cost_eating_out                             < 0.6          to the right, improve=0.04399629, (0 missing)
      share_cost_dom_travel                             < 0.1503019    to the right, improve=0.03190960, (0 missing)
      transport_app_based_services_such_as_uber_ola_etc < 0.5          to the left,  improve=0.02805535, (0 missing)
      itinerary_region_nelson                           < 0.5          to the right, improve=0.02524016, (0 missing)
      activity_watching_or_playing_some_sport           < 0.5          to the left,  improve=0.02242839, (0 missing)

Node number 5530: 8 observations
  mean=7.5, MSE=2 

Node number 5531: 84 observations,    complexity param=0.0003935315
  mean=8.833333, MSE=1.996032 
  left son=11062 (8 obs) right son=11063 (76 obs)
  Primary splits:
      activity_hot_pools    < 0.5          to the right, improve=0.07699854, (0 missing)
      share_cost_eating_out < 0.5405405    to the right, improve=0.06719682, (0 missing)
      no_days_in_nz         < 7.5          to the left,  improve=0.05060546, (0 missing)
      arrival_location      splits as  LLR-R-, improve=0.04192980, (0 missing)
      share_cost_shopping   < 0.222859     to the left,  improve=0.03741992, (0 missing)
  Surrogate splits:
      activity_a_geothermal_park_hot_mud_and_possibly_geysers                                                         < 0.5          to the right, agree=0.940, adj=0.375, (0 split)
      itinerary_region_bay_of_plenty                                                                                  < 0.5          to the right, agree=0.929, adj=0.250, (0 split)
      accomm_other_paid_camping_ground_holiday_park_where_you_can_stay_in_a_tent_cabin_caravan_or_campervan_motorhome < 0.5          to the right, agree=0.917, adj=0.125, (0 split)
      activity_glow_worm_tour                                                                                         < 0.5          to the right, agree=0.917, adj=0.125, (0 split)
      activity_health_spa_or_day_spa                                                                                  < 0.5          to the right, agree=0.917, adj=0.125, (0 split)

Node number 5534: 7 observations
  mean=7.857143, MSE=2.408163 

Node number 5535: 170 observations,    complexity param=0.0002876902
  mean=9.276471, MSE=1.38827 
  left son=11070 (36 obs) right son=11071 (134 obs)
  Primary splits:
      share_cost_dom_travel       < 0.1253931    to the right, improve=0.03800146, (0 missing)
      itinerary_region_canterbury < 0.5          to the left,  improve=0.03192143, (0 missing)
      share_cost_shopping         < 0.09090909   to the right, improve=0.02668676, (0 missing)
      treated_spend_capped        < 5126.821     to the right, improve=0.02606668, (0 missing)
      share_cost_car_rentals      < 0.2209619    to the left,  improve=0.02409128, (0 missing)
  Surrogate splits:
      share_cost_shopping < 0.03226344   to the left,  agree=0.8, adj=0.056, (0 split)

Node number 5584: 7 observations
  mean=5.857143, MSE=6.408163 

Node number 5585: 13 observations
  mean=7.923077, MSE=1.455621 

Node number 5588: 17 observations
  mean=8.529412, MSE=2.013841 

Node number 5589: 14 observations
  mean=9.357143, MSE=0.9438776 

Node number 5596: 14 observations
  mean=8.428571, MSE=2.387755 

Node number 5597: 198 observations,    complexity param=0.0002113188
  mean=9.247475, MSE=1.297342 
  left son=11194 (13 obs) right son=11195 (185 obs)
  Primary splits:
      itinerary_region_marlborough < 0.5          to the right, improve=0.03345737, (0 missing)
      accomm_hotel                 < 0.5          to the right, improve=0.02437423, (0 missing)
      itinerary_region_nelson      < 0.5          to the right, improve=0.02366955, (0 missing)
      maori_exp_none_of_these      < 0.5          to the right, improve=0.02242357, (0 missing)
      share_cost_shopping          < 0.188447     to the left,  improve=0.02035052, (0 missing)
  Surrogate splits:
      share_cost_shopping         < 0.03231026   to the left,  agree=0.949, adj=0.231, (0 split)
      itinerary_region_west_coast < 0.5          to the right, agree=0.944, adj=0.154, (0 split)

Node number 5866: 18 observations
  mean=8.333333, MSE=3.888889 

Node number 5867: 130 observations,    complexity param=0.0003064251
  mean=9.084615, MSE=1.585148 
  left son=11734 (87 obs) right son=11735 (43 obs)
  Primary splits:
      share_cost_eating_out                           < 0.2512626    to the left,  improve=0.05082986, (0 missing)
      share_cost_dom_travel                           < 0.08951605   to the right, improve=0.04247086, (0 missing)
      maori_exp_see_maori_art_or_crafts_being_created < 0.5          to the left,  improve=0.03035253, (0 missing)
      maori_exp_visit_a_maori_family_in_their_home    < 0.5          to the left,  improve=0.03035253, (0 missing)
      share_cost_accomm                               < 0.5495066    to the left,  improve=0.03008364, (0 missing)
  Surrogate splits:
      transport_train                                         < 0.5          to the left,  agree=0.708, adj=0.116, (0 split)
      other_countries_visited_after                           < 0.5          to the left,  agree=0.692, adj=0.070, (0 split)
      transport_other_bus_service                             < 0.5          to the left,  agree=0.692, adj=0.070, (0 split)
      travel_party_other_adult_s_who_are_not_family_relatives < 0.5          to the left,  agree=0.692, adj=0.070, (0 split)
      activity_health_spa_or_day_spa                          < 0.5          to the left,  agree=0.685, adj=0.047, (0 split)

Node number 5870: 131 observations,    complexity param=0.0003288101
  mean=9.152672, MSE=2.282035 
  left son=11740 (39 obs) right son=11741 (92 obs)
  Primary splits:
      itinerary_region_wellington                           < 0.5          to the right, improve=0.04387692, (0 missing)
      share_cost_dom_travel                                 < 0.03937729   to the right, improve=0.03776356, (0 missing)
      share_cost_entertainment                              < 0.05388788   to the left,  improve=0.03592504, (0 missing)
      share_cost_accomm                                     < 0.4          to the right, improve=0.02597105, (0 missing)
      accomm_luxury_accommodation_5_star_hotel_luxury_lodge < 0.5          to the right, improve=0.02522536, (0 missing)
  Surrogate splits:
      arrival_location        splits as  RR--L-, agree=0.802, adj=0.333, (0 split)
      departure_location      splits as  RR-L-, agree=0.786, adj=0.282, (0 split)
      transport_scenic_trains < 0.5          to the right, agree=0.733, adj=0.103, (0 split)
      transport_train         < 0.5          to the right, agree=0.725, adj=0.077, (0 split)
      share_cost_dom_travel   < 0.2900828    to the right, agree=0.725, adj=0.077, (0 split)

Node number 5871: 84 observations,    complexity param=0.0003235188
  mean=9.583333, MSE=0.7906746 
  left son=11742 (20 obs) right son=11743 (64 obs)
  Primary splits:
      share_cost_shopping                     < 0.04494949   to the left,  improve=0.15853200, (0 missing)
      share_cost_eating_out                   < 0.5501067    to the right, improve=0.09848599, (0 missing)
      travel_party_my_husband_wife_or_partner < 0.5          to the right, improve=0.05593589, (0 missing)
      other_countries_visited_after           < 0.5          to the right, improve=0.05312173, (0 missing)
      share_cost_dom_flights                  < 0.04529915   to the left,  improve=0.04762360, (0 missing)
  Surrogate splits:
      share_cost_eating_out                              < 0.7793522    to the right, agree=0.810, adj=0.20, (0 split)
      activity_trip_to_watch_whales_penguins_or_dolphins < 0.5          to the right, agree=0.786, adj=0.10, (0 split)
      package_deal                                       splits as  R-L-, agree=0.774, adj=0.05, (0 split)
      maori_exp_watch_a_live_maori_performance           < 0.5          to the right, agree=0.774, adj=0.05, (0 split)
      itinerary_region_marlborough                       < 0.5          to the right, agree=0.774, adj=0.05, (0 split)

Node number 6060: 37 observations,    complexity param=0.0002956559
  mean=8.351351, MSE=2.119795 
  left son=12120 (9 obs) right son=12121 (28 obs)
  Primary splits:
      age_range                 splits as  LLLLLRRRRRRRRR, improve=0.1571453, (0 missing)
      share_cost_food_drink     < 0.1818182    to the right, improve=0.1470291, (0 missing)
      itinerary_region_auckland < 0.5          to the right, improve=0.1199264, (0 missing)
      arrival_season            splits as  LRRL-, improve=0.1089416, (0 missing)
      share_cost_eating_out     < 0.2321429    to the right, improve=0.1038213, (0 missing)
  Surrogate splits:
      treated_spend_capped  < 252.7441     to the left,  agree=0.838, adj=0.333, (0 split)
      share_cost_food_drink < 0.324081     to the right, agree=0.811, adj=0.222, (0 split)

Node number 6061: 17 observations
  mean=9.529412, MSE=0.7197232 

Node number 6062: 42 observations,    complexity param=0.0002609754
  mean=8.857143, MSE=1.931973 
  left son=12124 (30 obs) right son=12125 (12 obs)
  Primary splits:
      share_cost_eating_out      < 0.2469512    to the right, improve=0.13568080, (0 missing)
      share_cost_food_drink      < 0.2748358    to the right, improve=0.09448639, (0 missing)
      share_cost_dom_travel      < 0.3703416    to the left,  improve=0.08926056, (0 missing)
      transport_drove_themselves < 0.5          to the right, improve=0.06981773, (0 missing)
      age_range                  splits as  LLLLLLLLRRRRRR, improve=0.06554872, (0 missing)
  Surrogate splits:
      share_cost_food_drink                      < 0.09212121   to the right, agree=0.786, adj=0.250, (0 split)
      share_cost_shopping                        < 0.1802782    to the left,  agree=0.786, adj=0.250, (0 split)
      transport_train                            < 0.5          to the left,  agree=0.762, adj=0.167, (0 split)
      transport_bus_service_between_towns_cities < 0.5          to the left,  agree=0.762, adj=0.167, (0 split)
      share_cost_dom_travel                      < 0.4753389    to the left,  agree=0.762, adj=0.167, (0 split)

Node number 6063: 100 observations,    complexity param=0.0001102831
  mean=9.46, MSE=0.8484 
  left son=12126 (14 obs) right son=12127 (86 obs)
  Primary splits:
      age_range                   splits as  LLLRRRRRRRRRRR, improve=0.05418995, (0 missing)
      share_cost_food_drink       < 0.2714549    to the left,  improve=0.05010019, (0 missing)
      itinerary_region_canterbury < 0.5          to the left,  improve=0.03960102, (0 missing)
      itinerary_region_wellington < 0.5          to the right, improve=0.03479209, (0 missing)
      share_cost_eating_out       < 0.444664     to the right, improve=0.03439924, (0 missing)
  Surrogate splits:
      transport_local_bus_service < 0.5          to the right, agree=0.88, adj=0.143, (0 split)
      no_days_in_nz               < 1.5          to the left,  agree=0.87, adj=0.071, (0 split)
      share_cost_food_drink       < 0.07177786   to the left,  agree=0.87, adj=0.071, (0 split)

Node number 6076: 208 observations,    complexity param=0.0003887484
  mean=8.923077, MSE=2.647929 
  left son=12152 (186 obs) right son=12153 (22 obs)
  Primary splits:
      share_cost_shopping                                       < 0.4033898    to the left,  improve=0.01730260, (0 missing)
      maori_exp_none_of_these                                   < 0.5          to the right, improve=0.01622992, (0 missing)
      share_cost_eating_out                                     < 0.07634033   to the right, improve=0.01486754, (0 missing)
      maori_exp_visit_a_maori_marae_a_maori_meeting_place       < 0.5          to the left,  improve=0.01363778, (0 missing)
      transport_car_or_van_owned_by_you_family_friend_s_company < 0.5          to the left,  improve=0.01158448, (0 missing)

Node number 6077: 195 observations,    complexity param=0.0003887484
  mean=9.276923, MSE=1.625878 
  left son=12154 (13 obs) right son=12155 (182 obs)
  Primary splits:
      share_cost_food_drink    < 0.5          to the right, improve=0.05541191, (0 missing)
      share_cost_shopping      < 0.06066176   to the left,  improve=0.03736748, (0 missing)
      treated_spend_capped     < 1863.828     to the left,  improve=0.02841051, (0 missing)
      share_cost_entertainment < 0.1265873    to the left,  improve=0.02308500, (0 missing)
      transport_rental_car     < 0.5          to the right, improve=0.01936738, (0 missing)
  Surrogate splits:
      share_cost_eating_out < 0.00547046   to the left,  agree=0.949, adj=0.231, (0 split)

Node number 6078: 539 observations,    complexity param=0.0003228358
  mean=9.280148, MSE=1.470682 
  left son=12156 (80 obs) right son=12157 (459 obs)
  Primary splits:
      share_cost_food_drink                        < 0.1052632    to the left,  improve=0.007715149, (0 missing)
      share_cost_dom_travel                        < 0.04148689   to the left,  improve=0.007704499, (0 missing)
      maori_exp_some_other_maori_cultural_activity < 0.5          to the left,  improve=0.007623717, (0 missing)
      activity_a_beach                             < 0.5          to the left,  improve=0.007507151, (0 missing)
      activity_swimming_surfing                    < 0.5          to the left,  improve=0.006239369, (0 missing)
  Surrogate splits:
      share_cost_dom_flights < 0.5700749    to the right, agree=0.863, adj=0.075, (0 split)
      share_cost_car_rentals < 0.5096664    to the right, agree=0.863, adj=0.075, (0 split)
      share_cost_other       < 0.7142857    to the right, agree=0.861, adj=0.063, (0 split)
      share_cost_shopping    < 0.7585347    to the right, agree=0.857, adj=0.037, (0 split)
      share_cost_eating_out  < 0.8831169    to the right, agree=0.855, adj=0.025, (0 split)

Node number 6079: 48 observations
  mean=9.770833, MSE=0.2599826 

Node number 6120: 13 observations
  mean=8, MSE=2.461538 

Node number 6121: 42 observations,    complexity param=0.0003046063
  mean=9.190476, MSE=1.678005 
  left son=12242 (18 obs) right son=12243 (24 obs)
  Primary splits:
      share_cost_eating_out              < 0.1361111    to the left,  improve=0.18018020, (0 missing)
      treated_spend_capped               < 2282.057     to the left,  improve=0.12001050, (0 missing)
      transport_plane_within_new_zealand < 0.5          to the left,  improve=0.08448013, (0 missing)
      arrival_year                       splits as  RLLL-, improve=0.07810811, (0 missing)
      share_cost_accomm                  < 0.4909639    to the right, improve=0.06918919, (0 missing)
  Surrogate splits:
      share_cost_dom_travel  < 0.02392154   to the left,  agree=0.690, adj=0.278, (0 split)
      share_cost_food_drink  < 0.2355319    to the right, agree=0.690, adj=0.278, (0 split)
      share_cost_dom_flights < 0.1199309    to the right, agree=0.667, adj=0.222, (0 split)
      activity_a_beach       < 0.5          to the left,  agree=0.643, adj=0.167, (0 split)
      share_cost_accomm      < 0.2454955    to the left,  agree=0.643, adj=0.167, (0 split)

Node number 6122: 40 observations,    complexity param=0.00037794
  mean=8.875, MSE=3.759375 
  left son=12244 (8 obs) right son=12245 (32 obs)
  Primary splits:
      share_cost_accomm      < 0.1619033    to the left,  improve=0.33665840, (0 missing)
      share_cost_car_rentals < 0.1812946    to the right, improve=0.16763650, (0 missing)
      treated_spend_capped   < 2615         to the right, improve=0.10390690, (0 missing)
      share_cost_dom_travel  < 0.09391534   to the left,  improve=0.07938636, (0 missing)
      no_days_in_nz          < 10.5         to the right, improve=0.07677692, (0 missing)
  Surrogate splits:
      activity_a_place_that_is_significant_to_maori_such_as_a_landmark_remains_of_a_maori_pa_fortified_hill_etc < 0.5          to the right, agree=0.850, adj=0.250, (0 split)
      maori_exp_visit_a_maori_family_in_their_home                                                              < 0.5          to the right, agree=0.850, adj=0.250, (0 split)
      maori_exp_eat_maori_traditional_food                                                                      < 0.5          to the right, agree=0.850, adj=0.250, (0 split)
      share_cost_car_rentals                                                                                    < 0.1812946    to the right, agree=0.850, adj=0.250, (0 split)
      departure_location                                                                                        splits as  LR-R-, agree=0.825, adj=0.125, (0 split)

Node number 6123: 270 observations,    complexity param=0.0002570722
  mean=9.433333, MSE=1.09 
  left son=12246 (12 obs) right son=12247 (258 obs)
  Primary splits:
      activity_theme_park_or_leisure_park     < 0.5          to the right, improve=0.03082996, (0 missing)
      activity_a_national_park                < 0.5          to the right, improve=0.02639999, (0 missing)
      share_cost_food_drink                   < 0.4154687    to the right, improve=0.02437500, (0 missing)
      share_cost_entertainment                < 0.04939152   to the right, improve=0.02180412, (0 missing)
      activity_watching_or_playing_some_sport < 0.5          to the right, improve=0.02161727, (0 missing)

Node number 6488: 32 observations,    complexity param=0.0008150785
  mean=7.1875, MSE=8.089844 
  left son=12976 (8 obs) right son=12977 (24 obs)
  Primary splits:
      activity_a_national_park < 0.5          to the right, improve=0.1752776, (0 missing)
      arrival_season           splits as  RLRL-, improve=0.1538046, (0 missing)
      share_cost_dom_travel    < 0.03483169   to the right, improve=0.1395461, (0 missing)
      treated_spend_capped     < 1670.982     to the right, improve=0.1372823, (0 missing)
      share_cost_entertainment < 0.1966431    to the left,  improve=0.1045872, (0 missing)
  Surrogate splits:
      activity_farm_or_orchard    < 0.5          to the right, agree=0.812, adj=0.250, (0 split)
      transport_local_bus_service < 0.5          to the right, agree=0.812, adj=0.250, (0 split)
      treated_spend_capped        < 7700         to the right, agree=0.812, adj=0.250, (0 split)
      share_cost_entertainment    < 0.1547482    to the left,  agree=0.812, adj=0.250, (0 split)
      departure_location          splits as  RL-R-, agree=0.781, adj=0.125, (0 split)

Node number 6489: 25 observations,    complexity param=0.0003558972
  mean=8.96, MSE=2.5184 
  left son=12978 (11 obs) right son=12979 (14 obs)
  Primary splits:
      share_cost_food_drink < 0.1280218    to the right, improve=0.2356516, (0 missing)
      treated_spend_capped  < 1877.867     to the left,  improve=0.1927194, (0 missing)
      share_cost_dom_travel < 0.05384933   to the left,  improve=0.1564439, (0 missing)
      no_days_in_nz         < 7.5          to the left,  improve=0.1423126, (0 missing)
      age_range             splits as  LLLLLLLRRRRRRR, improve=0.1166193, (0 missing)
  Surrogate splits:
      activity_garden_visit_or_flower_show        < 0.5          to the right, agree=0.72, adj=0.364, (0 split)
      treated_spend_capped                        < 1239.691     to the left,  agree=0.72, adj=0.364, (0 split)
      share_cost_entertainment                    < 0.2300066    to the left,  agree=0.72, adj=0.364, (0 split)
      arrival_season                              splits as  LRLR-, agree=0.68, adj=0.273, (0 split)
      activity_a_film_location_tour_or_experience < 0.5          to the left,  agree=0.68, adj=0.273, (0 split)

Node number 6490: 44 observations,    complexity param=0.0003560709
  mean=8.25, MSE=2.823864 
  left son=12980 (8 obs) right son=12981 (36 obs)
  Primary splits:
      share_cost_entertainment                < 0.08527132   to the right, improve=0.09959759, (0 missing)
      share_cost_dom_travel                   < 0.0592479    to the right, improve=0.09279278, (0 missing)
      first_nz_trip                           splits as  RL-, improve=0.09221999, (0 missing)
      activity_a_public_museum_or_art_gallery < 0.5          to the left,  improve=0.08915804, (0 missing)
      itinerary_region_wellington             < 0.5          to the left,  improve=0.07869439, (0 missing)
  Surrogate splits:
      activity_a_geothermal_park_hot_mud_and_possibly_geysers < 0.5          to the right, agree=0.864, adj=0.250, (0 split)
      activity_health_spa_or_day_spa                          < 0.5          to the right, agree=0.841, adj=0.125, (0 split)

Node number 6491: 198 observations,    complexity param=0.0005014125
  mean=8.934343, MSE=2.546194 
  left son=12982 (142 obs) right son=12983 (56 obs)
  Primary splits:
      share_cost_shopping   < 0.0362414    to the right, improve=0.02320711, (0 missing)
      share_cost_accomm     < 0.4876993    to the right, improve=0.02184071, (0 missing)
      no_days_in_nz         < 3.5          to the left,  improve=0.01871998, (0 missing)
      share_cost_day_cruise < 0.01758863   to the left,  improve=0.01732188, (0 missing)
      share_cost_eating_out < 0.252765     to the left,  improve=0.01710966, (0 missing)
  Surrogate splits:
      share_cost_car_rentals                                                                                          < 0.3307818    to the left,  agree=0.778, adj=0.214, (0 split)
      no_days_in_nz                                                                                                   < 18           to the left,  agree=0.732, adj=0.054, (0 split)
      share_cost_accomm                                                                                               < 0.5128205    to the left,  agree=0.732, adj=0.054, (0 split)
      share_cost_tour_package                                                                                         < 0.7160191    to the left,  agree=0.732, adj=0.054, (0 split)
      accomm_other_paid_camping_ground_holiday_park_where_you_can_stay_in_a_tent_cabin_caravan_or_campervan_motorhome < 0.5          to the left,  agree=0.727, adj=0.036, (0 split)

Node number 6504: 21 observations,    complexity param=0.0003569605
  mean=7.666667, MSE=3.079365 
  left son=13008 (14 obs) right son=13009 (7 obs)
  Primary splits:
      activity_a_live_performance_of_dance     < 0.5          to the left,  improve=0.2301178, (0 missing)
      treated_spend_capped                     < 3365.656     to the left,  improve=0.1473368, (0 missing)
      share_cost_dom_travel                    < 0.0732383    to the left,  improve=0.1387787, (0 missing)
      maori_exp_watch_a_live_maori_performance < 0.5          to the left,  improve=0.1312090, (0 missing)
      no_days_in_nz                            < 9            to the left,  improve=0.1082474, (0 missing)
  Surrogate splits:
      activity_a_live_performance_of_music < 0.5          to the left,  agree=0.857, adj=0.571, (0 split)
      treated_spend_capped                 < 3740.732     to the left,  agree=0.857, adj=0.571, (0 split)
      activity_swimming_surfing            < 0.5          to the left,  agree=0.762, adj=0.286, (0 split)
      itinerary_region_auckland            < 0.5          to the right, agree=0.762, adj=0.286, (0 split)
      transport_other_boat_or_ship         < 0.5          to the left,  agree=0.762, adj=0.286, (0 split)

Node number 6505: 22 observations,    complexity param=0.0002747687
  mean=8.954545, MSE=1.770661 
  left son=13010 (8 obs) right son=13011 (14 obs)
  Primary splits:
      share_cost_food_drink          < 0.06670429   to the right, improve=0.2940490, (0 missing)
      age_range                      splits as  LLLLLLLRRRRRRR, improve=0.1447297, (0 missing)
      activity_a_national_park       < 0.5          to the left,  improve=0.1400233, (0 missing)
      transport_taxi_shuttle_service < 0.5          to the left,  improve=0.1017363, (0 missing)
      gender                         splits as  LR--, improve=0.0960160, (0 missing)
  Surrogate splits:
      age_range                                                                                                                             splits as  LLLLRRRRRRRRRR, agree=0.864, adj=0.625, (0 split)
      share_cost_eating_out                                                                                                                 < 0.1030784    to the left,  agree=0.864, adj=0.625, (0 split)
      accomm_house_flat_apartment_booked_through_an_online_website_including_booking_com_air_bn_b_home_swap_home_stay_hotel_com_expedia_etc < 0.5          to the right, agree=0.773, adj=0.375, (0 split)
      share_cost_dom_travel                                                                                                                 < 0.0759803    to the right, agree=0.773, adj=0.375, (0 split)
      share_cost_shopping                                                                                                                   < 0.09029024   to the right, agree=0.773, adj=0.375, (0 split)

Node number 6506: 28 observations,    complexity param=0.0002337025
  mean=8.821429, MSE=1.932398 
  left son=13012 (16 obs) right son=13013 (12 obs)
  Primary splits:
      maori_exp_see_maori_artefacts_art_or_crafts_in_an_exhibition < 0.5          to the left,  improve=0.2253025, (0 missing)
      share_cost_food_drink                                        < 0.1131243    to the right, improve=0.1939861, (0 missing)
      share_cost_entertainment                                     < 0.05369484   to the left,  improve=0.1163916, (0 missing)
      maori_exp_see_maori_art_or_crafts_being_created              < 0.5          to the left,  improve=0.0970297, (0 missing)
      treated_spend_capped                                         < 3744.965     to the left,  improve=0.0970297, (0 missing)
  Surrogate splits:
      activity_a_place_that_is_significant_to_maori_such_as_a_landmark_remains_of_a_maori_pa_fortified_hill_etc < 0.5          to the left,  agree=0.821, adj=0.583, (0 split)
      activity_a_public_museum_or_art_gallery                                                                   < 0.5          to the left,  agree=0.786, adj=0.500, (0 split)
      treated_spend_capped                                                                                      < 4086.223     to the left,  agree=0.714, adj=0.333, (0 split)
      share_cost_accomm                                                                                         < 0.430303     to the left,  agree=0.714, adj=0.333, (0 split)
      share_cost_food_drink                                                                                     < 0.03773598   to the right, agree=0.714, adj=0.333, (0 split)

Node number 6507: 22 observations
  mean=9.590909, MSE=0.6053719 

Node number 6516: 18 observations
  mean=8.666667, MSE=1.111111 

Node number 6517: 17 observations
  mean=9.470588, MSE=0.8373702 

Node number 6524: 20 observations,    complexity param=0.0001260447
  mean=8.9, MSE=1.09 
  left son=13048 (9 obs) right son=13049 (11 obs)
  Primary splits:
      age_range                                                                                                                             splits as  LLLLLLLLRRRRRR, improve=0.2410342, (0 missing)
      accomm_house_flat_apartment_booked_through_an_online_website_including_booking_com_air_bn_b_home_swap_home_stay_hotel_com_expedia_etc < 0.5          to the left,  improve=0.2227039, (0 missing)
      share_cost_shopping                                                                                                                   < 0.1020061    to the right, improve=0.1557780, (0 missing)
      share_cost_food_drink                                                                                                                 < 0.06615261   to the left,  improve=0.1467890, (0 missing)
      activity_a_place_that_is_significant_to_maori_such_as_a_landmark_remains_of_a_maori_pa_fortified_hill_etc                             < 0.5          to the left,  improve=0.1409508, (0 missing)
  Surrogate splits:
      no_days_in_nz                                                                                                                         < 12           to the left,  agree=0.75, adj=0.444, (0 split)
      travel_party_child_children_aged_under_15                                                                                             < 0.5          to the right, agree=0.75, adj=0.444, (0 split)
      arrival_year                                                                                                                          splits as  L-R--, agree=0.70, adj=0.333, (0 split)
      accomm_staying_with_family_or_friends                                                                                                 < 0.5          to the left,  agree=0.70, adj=0.333, (0 split)
      accomm_house_flat_apartment_booked_through_an_online_website_including_booking_com_air_bn_b_home_swap_home_stay_hotel_com_expedia_etc < 0.5          to the left,  agree=0.70, adj=0.333, (0 split)

Node number 6525: 16 observations
  mean=9.875, MSE=0.109375 

Node number 6634: 45 observations,    complexity param=0.0002127113
  mean=9.044444, MSE=1.686914 
  left son=13268 (16 obs) right son=13269 (29 obs)
  Primary splits:
      share_cost_accomm                       < 0.1858415    to the left,  improve=0.14657440, (0 missing)
      share_cost_eating_out                   < 0.1801948    to the right, improve=0.14112200, (0 missing)
      travel_party_my_husband_wife_or_partner < 0.5          to the left,  improve=0.12120900, (0 missing)
      travel_party_no_one_i_was_on_my_own     < 0.5          to the right, improve=0.09386501, (0 missing)
      share_cost_shopping                     < 0.3636352    to the right, improve=0.08876406, (0 missing)
  Surrogate splits:
