==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
238 0.0002543350    567 0.7068708 1.2161636 0.02049285
239 0.0002533706    568 0.7066164 1.2160990 0.02047781
240 0.0002533114    569 0.7063631 1.2168195 0.02047901
241 0.0002531571    570 0.7061098 1.2168852 0.02047931
242 0.0002508523    571 0.7058566 1.2170107 0.02044271
243 0.0002503341    572 0.7056058 1.2176384 0.02045216
244 0.0002499445    573 0.7053554 1.2179097 0.02045304
245 0.0002478738    576 0.7046056 1.2186095 0.02044353
246 0.0002469881    579 0.7038620 1.2203535 0.02045011
247 0.0002456677    580 0.7036150 1.2210770 0.02046551
248 0.0002446407    582 0.7031236 1.2216909 0.02047306
249 0.0002445648    583 0.7028790 1.2215376 0.02047163
250 0.0002418765    585 0.7023899 1.2225489 0.02048756
251 0.0002414168    586 0.7021480 1.2230402 0.02048715
252 0.0002406271    592 0.7006995 1.2231131 0.02048758
253 0.0002387600    594 0.7002182 1.2239742 0.02049158
254 0.0002368153    595 0.6999795 1.2258726 0.02048507
255 0.0002367427    598 0.6992690 1.2258494 0.02049068
256 0.0002362855    600 0.6987956 1.2261932 0.02050351
257 0.0002362723    601 0.6985593 1.2262386 0.02050361
258 0.0002361871    602 0.6983230 1.2262386 0.02050361
259 0.0002337025    603 0.6980868 1.2265239 0.02047702
260 0.0002330115    605 0.6976194 1.2270529 0.02047806
261 0.0002328923    606 0.6973864 1.2269800 0.02047781
262 0.0002319530    608 0.6969206 1.2275004 0.02047904
263 0.0002313104    609 0.6966887 1.2275703 0.02047913
264 0.0002308821    610 0.6964573 1.2276176 0.02047810
265 0.0002307140    611 0.6962265 1.2276065 0.02047845
266 0.0002288653    614 0.6955343 1.2280853 0.02048813
267 0.0002282926    616 0.6950766 1.2290671 0.02049174
268 0.0002282808    617 0.6948483 1.2295171 0.02049187
269 0.0002277780    618 0.6946200 1.2296874 0.02049357
270 0.0002266812    620 0.6941645 1.2300573 0.02049809
271 0.0002263280    622 0.6937111 1.2305668 0.02050202
272 0.0002262550    624 0.6932584 1.2306296 0.02050146
273 0.0002261015    629 0.6921231 1.2306627 0.02050167
274 0.0002248851    630 0.6918970 1.2313913 0.02051045
275 0.0002246149    631 0.6916721 1.2316535 0.02051029
276 0.0002223242    633 0.6912229 1.2332579 0.02053760
277 0.0002214254    635 0.6907783 1.2345604 0.02055109
278 0.0002184882    636 0.6905568 1.2357799 0.02054578
279 0.0002171626    638 0.6901199 1.2367927 0.02056274
280 0.0002169900    639 0.6899027 1.2375006 0.02055833
281 0.0002163156    641 0.6894687 1.2374603 0.02055844
282 0.0002159079    642 0.6892524 1.2377880 0.02055519
283 0.0002154960    643 0.6890365 1.2379889 0.02055596
284 0.0002127113    644 0.6888210 1.2381800 0.02055376
285 0.0002122931    646 0.6883956 1.2389912 0.02056600
286 0.0002121917    648 0.6879710 1.2391846 0.02057522
287 0.0002114770    651 0.6873329 1.2405382 0.02057676
288 0.0002113188    655 0.6864106 1.2408108 0.02057897
289 0.0002098015    660 0.6853540 1.2411815 0.02058433
290 0.0002097237    661 0.6851442 1.2414711 0.02058021
291 0.0002094850    662 0.6849345 1.2416237 0.02058016
292 0.0002092970    666 0.6840881 1.2420958 0.02058152
293 0.0002090402    667 0.6838788 1.2422774 0.02058200
294 0.0002086622    675 0.6821217 1.2423430 0.02058336
295 0.0002076549    676 0.6819130 1.2426056 0.02058200
296 0.0002070216    677 0.6817054 1.2431492 0.02058369
297 0.0002065065    678 0.6814984 1.2436242 0.02058581
298 0.0002062268    680 0.6810854 1.2436761 0.02058715
299 0.0002044280    683 0.6804667 1.2443973 0.02059076
300 0.0002040805    685 0.6800578 1.2453728 0.02059357
301 0.0002040111    686 0.6798537 1.2455327 0.02059385
302 0.0002032439    687 0.6796497 1.2461395 0.02059905
303 0.0002030664    690 0.6790400 1.2459991 0.02059697
304 0.0002026965    692 0.6786339 1.2464728 0.02059632
305 0.0002009435    693 0.6784312 1.2475362 0.02059851
306 0.0002005254    694 0.6782302 1.2481137 0.02060037
307 0.0002002890    697 0.6776042 1.2485561 0.02060405
