term,estimate,std_error,t_value,p_value,percent_effect,dollar_effect
age_range_35_39,0.3457924423037731,0.03882758431506094,8.905844862711243,5.702212976027634e-19,41.310928366962244,1413.4737597078333
country_of_residence_netherlands,0.29895033101010277,0.03402070848411676,8.78730468384201,1.6425262646125197e-18,34.84426460254109,1192.2136741762595
first_nz_trip,0.10534487431117746,0.012030986893373076,8.756129089393628,2.164512967472645e-18,11.109373197297367,380.1126753118289
country_of_residence_singapore,0.22967351296911173,0.02642368454290039,8.69195636196093,3.80855143781847e-18,25.818916042132756,883.4069281977227
visit_purpose_to_visit_friends,-0.2737017193260696,0.03283254669404737,-8.33629269994132,8.112327453858187e-17,-23.94410985480454,-819.2595111562405
accomm_house_flat_apartment_booked_through_an_online_website_including_booking_com_air_bn_b_home_swap_home_stay_hotel_com_expedia_etc,0.0981540805515951,0.011871679262764355,8.267918832633592,1.440011033958862e-16,10.31327433161171,352.8737605437029
country_of_residence_switzerland,0.3572890663901495,0.04324868495657102,8.261270065180666,1.5222798632916252e-16,42.944901580459714,1469.380957939457
country_of_residence_china_peoples_republic_of,0.24415003801523938,0.029718692998464035,8.215369297292378,2.231303789710393e-16,27.653584502643458,946.1810131483131
age_range_75_or_older,0.34278662929232545,0.04423897389091343,7.748521250460851,9.700268462428685e-15,40.886811866585894,1398.96240477008
travel_type_tour_group,0.1247567776420238,0.01621969835925227,7.69168296960703,1.5132922488169988e-14,13.287287954231397,454.63110134334454
age_range_30_34,0.2901415625273801,0.03773327736773697,7.689275429211973,1.541961368540199e-14,33.66166894699385,1151.7505813933506
country_of_residence_other,0.1862301004151006,0.024351573104258627,7.647559343200399,2.1326141318757765e-14,20.469943032693628,700.3891823105557
country_of_residence_ireland,0.34234206588055277,0.04923359580441662,6.953423983909827,3.6656334580212116e-12,40.824192664963,1396.819857946596
country_of_residence_scotland,0.29902522551374555,0.04313340668057789,6.932566855387998,4.24770075363378e-12,34.85436407500033,1192.5592326004428
country_of_residence_france,0.21793998960351949,0.03145784637834359,6.928000950298846,4.386729627077577e-12,24.351244170526385,833.189812282314
country_of_residence_hong_kong_special_administrative_region,0.28361607674941386,0.041354004050917645,6.858249479305751,7.1567636883879945e-12,32.79230123548622,1122.004736980519
transport_plane_within_new_zealand,0.08273613761643049,0.012883312481960042,6.421961567126654,1.3729409575644978e-10,8.625514885780428,295.1262398830585
itinerary_region_otago,0.09002811937017981,0.014294953102783515,6.297895398666927,3.0745538426135647e-10,9.4205051629520309,322.3272237491964
decision_it_was_somewhere_new_i_had_never_been_there_before,-0.08920208882574537,0.014788421136054865,-6.031887245100594,1.646581814511207e-9,-8.53392878134105,-291.9925762135087
age_range_25_29,0.21511405236792003,0.03756369153995263,5.726648355077812,1.037762261827667e-8,24.000331421563747,821.1831597520285
transport_taxi_shuttle_service,0.06118732307172711,0.010761801695891115,5.6856021696709576,1.3201297453951632e-8,6.3098038326426575,215.89304571225603
transport_rental_campervan_motor_home,0.15461802905224997,0.027663980664389503,5.5891460787233065,2.3090772330301932e-8,16.721203485793133,572.1242124591287
transport_app_based_services_such_as_uber_ola_etc,0.06493321083711999,0.011997377705673275,5.4122836198125706,6.288007418321576e-8,6.708775210642859,229.54404790393656
maori_exp_see_maori_artefacts_art_or_crafts_in_an_exhibition,-0.08552767376836534,0.016118005147398275,-5.306343619214626,1.1293459950633675e-7,-8.197226258433254,-280.472133566226
travel_party_child_children_aged_under_15,-0.09880403003238576,0.018925754520675707,-5.220612468815756,1.7996160294329985e-7,-9.407977621398233,-321.89858774511896
arrival_year_2025,0.08486514691492177,0.016935537460034508,5.011069008892786,5.45504085119471e-7,8.857025974208499,303.047505792836
country_of_residence_denmark,0.28067701655280164,0.056778623815451096,4.943357159643263,7.735647710580714e-7,32.40258964195461,1108.6705628748755
