response_id,departure_location,country_of_residence,country_of_residence_group,gender,first_nz_trip,arrival_location,arrival_date,no_days_in_nz,package_deal,age_range,travel_type,sustainability_considered,treated_spend,visit_purpose,arrival_month,arrival_year,arrival_season
GEN24_1086948,Auckland,Fiji,Rest of Oceania,Female,No,Auckland airport,2024-12-22,27,No,45 - 49,Independent Traveller,Sometimes,800,To visit family,12,2024,Summer
GEN24_1086952,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-12,6,No,55 - 59,Independent Traveller,Most of the time,2700,To care for a family member or friend,1,2025,Summer
GEN24_1086960,Auckland,Czech Republic,Rest of Europe,Female,Yes,Auckland airport,2024-12-12,36,No,25 - 29,Independent Traveller,Always,9730,Just for the holiday,12,2024,Summer
GEN24_1086965,Auckland,United States of America,USA,Male,No,Auckland airport,2025-01-06,12,No,60 - 64,Independent Traveller,Never,6212.789,To go sightseeing,1,2025,Summer
GEN24_1086968,Auckland,England,UK,Male,No,Auckland airport,2024-12-17,32,No,35 - 39,Independent Traveller,Sometimes,4503.125993,To visit family,12,2024,Summer
GEN24_1086969,Auckland,United States of America,USA,Male,Yes,Christchurch airport,2025-01-10,8,No,55 - 59,Independent Traveller,Rarely,3260.612667,To go sightseeing,1,2025,Summer
GEN24_1086973,Auckland,Philippines,Rest of Asia,Male,Yes,Auckland airport,2025-01-01,16,No,35 - 39,Independent Traveller,Always,2310,To visit family,1,2025,Summer
GEN24_1086974,Auckland,Malaysia,Rest of Asia,Female,Yes,Auckland airport,2025-01-03,15,No,55 - 59,Tour Group,Most of the time,5527.465,To visit family,1,2025,Summer
GEN24_1086975,Auckland,Australia,Australia,Male,Yes,Auckland airport,2024-12-28,21,Yes,60 - 64,Package,Most of the time,16167.83513,To go sightseeing,12,2024,Summer
GEN24_1086977,Auckland,Switzerland,Rest of Europe,Female,Yes,Auckland airport,2024-12-26,23,No,40 - 44,Tour Group,Always,5900,Just for the holiday,12,2024,Summer
GEN24_1086982,Auckland,England,UK,Female,No,Auckland airport,2024-11-21,58,No,70 - 74,Tour Group,NA,2911.503875,To visit family,11,2024,Spring
GEN24_1086985,Auckland,United States of America,USA,Female,Yes,Auckland airport,2025-01-13,5,No,45 - 49,Independent Traveller,Sometimes,2819.989333,Just for the holiday,1,2025,Summer
GEN24_1086998,Auckland,England,UK,Female,No,Auckland airport,2025-01-01,17,No,65 - 69,Tour Group,Sometimes,3743.362125,To visit family,1,2025,Summer
GEN24_1087002,Auckland,United States of America,USA,Female,Yes,Auckland airport,2025-01-04,14,No,60 - 64,Independent Traveller,Most of the time,5023.106,Just for the holiday,1,2025,Summer
GEN24_1087004,Auckland,Germany,Germany,Male,No,Auckland airport,2024-12-01,48,No,65 - 69,Independent Traveller,Rarely,5142.773375,To visit family,12,2024,Summer
GEN24_1087009,Auckland,England,UK,Male,Yes,Christchurch airport,2024-11-18,61,No,60 - 64,Tour Group,NA,12921.53148,Holiday - Other,11,2024,Spring
GEN24_1087012,Auckland,England,UK,Female,No,Auckland airport,2025-01-13,5,No,55 - 59,Independent Traveller,Most of the time,2218.288667,Holiday - Other,1,2025,Summer
GEN24_1087017,Auckland,Netherlands,Rest of Europe,Male,No,Auckland airport,2024-12-28,21,No,70 - 74,Independent Traveller,NA,5189.104667,Just for the holiday,12,2024,Summer
GEN24_1087022,Auckland,United States of America,USA,Male,Yes,Auckland airport,2025-01-07,11,No,50 - 54,Independent Traveller,Most of the time,9931.649933,Business,1,2025,Summer
GEN24_1087027,Auckland,United States of America,USA,Female,No,Auckland airport,2025-01-11,7,No,60 - 64,Independent Traveller,Most of the time,1718.431,To care for a family member or friend,1,2025,Summer
GEN24_1087031,Christchurch,Australia,Australia,Female,Yes,Christchurch airport,2025-01-03,15,Yes,60 - 64,Package,NA,7455.018002,Just for the holiday,1,2025,Summer
GEN24_1087034,Auckland,United States of America,USA,Female,Yes,Auckland airport,2025-01-12,6,No,20 - 24,Independent Traveller,Most of the time,299.6238667,To visit friends,1,2025,Summer
GEN24_1087040,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-16,2,No,55 - 59,Independent Traveller,Most of the time,1121,Other,1,2025,Summer
GEN24_1087043,Auckland,Australia,Australia,Male,No,Auckland airport,2025-01-11,7,No,60 - 64,Independent Traveller,Not sure,1453.723295,Other,1,2025,Summer
GEN24_1087044,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-06,12,No,55 - 59,Independent Traveller,Sometimes,3740,Just for the holiday,1,2025,Summer
GEN24_1087049,Auckland,Germany,Germany,Male,Yes,Auckland airport,2024-12-30,19,No,60 - 64,Independent Traveller,Most of the time,7227.6815,To go sightseeing,12,2024,Summer
GEN24_1087050,Auckland,England,UK,Male,Yes,Christchurch airport,2024-12-21,28,No,75 or older,Independent Traveller,Most of the time,5470,To visit family,12,2024,Summer
GEN24_1087051,Auckland,South Africa,Africa and Middle East,Male,No,Auckland airport,2024-12-13,36,No,75 or older,Independent Traveller,Never,1666.379167,To visit family,12,2024,Summer
GEN24_1087052,Auckland,England,UK,Female,No,Auckland airport,2024-12-29,20,No,65 - 69,Independent Traveller,Sometimes,11600,To visit family,12,2024,Summer
GEN24_1087055,Auckland,South Africa,Africa and Middle East,Male,No,Auckland airport,2024-12-16,33,No,35 - 39,Independent Traveller,Sometimes,2475.763333,To visit family,12,2024,Summer
GEN24_1087057,Auckland,England,UK,Female,No,Auckland airport,2024-12-04,45,No,65 - 69,Independent Traveller,Always,7810.594395,Just for the holiday,12,2024,Summer
GEN24_1087059,Auckland,France,Rest of Europe,Female,Yes,Christchurch airport,2025-01-01,17,No,30 - 34,Independent Traveller,Always,11193.64007,To go sightseeing,1,2025,Summer
GEN24_1087061,Auckland,England,UK,Male,No,Auckland airport,2024-12-15,34,No,50 - 54,Independent Traveller,Sometimes,3299.704392,To visit family,12,2024,Summer
GEN24_1087064,Auckland,Australia,Australia,Male,No,Auckland airport,2024-12-18,31,No,45 - 49,Independent Traveller,Most of the time,500,To visit family,12,2024,Summer
GEN24_1087065,Auckland,Australia,Australia,Male,Yes,Queenstown airport,2025-01-09,9,No,20 - 24,Independent Traveller,Most of the time,2470,To go sightseeing,1,2025,Summer
GEN24_1087070,Auckland,Australia,Australia,Female,Yes,Auckland airport,2025-01-10,8,No,35 - 39,Independent Traveller,Rarely,3565,To go sightseeing,1,2025,Summer
GEN24_1087087,Auckland,"China, People's Republic of",China,Female,No,Auckland airport,2024-12-24,25,No,55 - 59,Tour Group,Always,4769.320633,To visit family,12,2024,Summer
GEN24_1087102,Auckland,Czech Republic,Rest of Europe,Male,Yes,Auckland airport,2024-12-27,22,Yes,25 - 29,Package,Most of the time,4072.519392,To go sightseeing,12,2024,Summer
GEN24_1087132,Auckland,England,UK,Female,Yes,Auckland airport,2024-12-29,21,No,35 - 39,Independent Traveller,Sometimes,5956.10507,To visit friends,12,2024,Summer
GEN24_1087140,Auckland,Brazil,Rest of Americas,Male,Yes,Auckland airport,2025-01-08,11,No,60 - 64,Independent Traveller,Sometimes,9200,For your honeymoon,1,2025,Summer
GEN24_1087141,Auckland,Australia,Australia,Female,No,Auckland airport,2024-12-27,23,No,55 - 59,Independent Traveller,Most of the time,3228.03956,Just for the holiday,12,2024,Summer
GEN24_1087142,Auckland,Canada,Canada,Male,No,Auckland airport,2025-01-07,12,No,50 - 54,Independent Traveller,Not sure,10436.06483,Holiday - Other,1,2025,Summer
GEN24_1087144,Auckland,Canada,Canada,Female,No,Auckland airport,2024-12-29,21,No,55 - 59,Independent Traveller,Rarely,1718.881267,To visit family,12,2024,Summer
GEN24_1087156,Auckland,United States of America,USA,Female,No,Auckland airport,2025-01-06,13,No,65 - 69,Independent Traveller,NA,3348.737333,To visit family,1,2025,Summer
GEN24_1087166,Auckland,United States of America,USA,Male,No,Auckland airport,2024-12-27,23,No,65 - 69,Independent Traveller,NA,15421.81667,To go sightseeing,12,2024,Summer
GEN24_1087169,Auckland,United States of America,USA,Male,Yes,Auckland airport,2025-01-09,10,No,60 - 64,Independent Traveller,Sometimes,4979.043667,"For a wedding, funeral, other family occasion",1,2025,Summer
GEN24_1087178,Auckland,South Africa,Africa and Middle East,Female,No,Auckland airport,2024-12-21,29,No,75 or older,Independent Traveller,Always,1200,To visit family,12,2024,Summer
GEN24_1087181,Auckland,United Arab Emirates,Africa and Middle East,Female,No,Auckland airport,2025-01-04,15,No,40 - 44,Independent Traveller,Sometimes,3593.62764,To visit family,1,2025,Summer
GEN24_1087183,Auckland,Netherlands,Rest of Europe,Female,No,Auckland airport,2024-12-24,26,No,55 - 59,Independent Traveller,Most of the time,3521.178167,Just for the holiday,12,2024,Summer
GEN24_1087184,Auckland,Hungary,Rest of Europe,Male,Yes,Auckland airport,2024-12-28,22,No,25 - 29,Independent Traveller,Sometimes,4605,To go sightseeing,12,2024,Summer
GEN24_1087197,Auckland,"China, People's Republic of",China,Male,Yes,Auckland airport,2025-01-11,8,Not sure,Under 20,Tour Group,Most of the time,13448.0015,For your honeymoon,1,2025,Summer
GEN24_1087203,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-17,3,No,45 - 49,Independent Traveller,Sometimes,2045.16205,For some special event or occasion (non-sport-related),1,2025,Summer
GEN24_1087215,Auckland,South Africa,Africa and Middle East,Female,Yes,Auckland airport,2024-11-06,75,No,55 - 59,Independent Traveller,Most of the time,2237.709167,To visit family,11,2024,Spring
GEN24_1087219,Auckland,Australia,Australia,Female,Yes,Auckland airport,2025-01-16,4,No,55 - 59,Independent Traveller,Sometimes,4521.46637,Visiting Friends/Relatives - Other,1,2025,Summer
GEN24_1087229,Auckland,Canada,Canada,Female,No,Auckland airport,2024-12-18,33,No,70 - 74,Independent Traveller,Always,4696.229175,To visit family,12,2024,Summer
GEN24_1087230,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-15,5,No,65 - 69,Independent Traveller,Always,330,To visit friends,1,2025,Summer
GEN24_1087247,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-08,12,No,55 - 59,Independent Traveller,Always,1216.0423,To visit family,1,2025,Summer
GEN24_1087253,Christchurch,England,UK,Male,Yes,Auckland airport,2025-01-06,14,No,65 - 69,Independent Traveller,Rarely,6657.084289,Just for the holiday,1,2025,Summer
GEN24_1087259,Auckland,France,Rest of Europe,Female,No,Auckland airport,2024-12-19,32,No,55 - 59,Independent Traveller,Always,2075.641867,To visit family,12,2024,Summer
GEN24_1087263,Auckland,South Africa,Africa and Middle East,Male,No,Auckland airport,2024-12-20,31,No,60 - 64,Tour Group,Most of the time,1618.768333,To visit family,12,2024,Summer
GEN24_1087269,Auckland,Northern Ireland,UK,Female,No,Christchurch airport,2024-12-26,25,No,45 - 49,Independent Traveller,Most of the time,1626.745022,To visit family,12,2024,Summer
GEN24_1087281,Auckland,United States of America,USA,Male,Yes,Auckland airport,2025-01-04,16,Yes,40 - 44,Tour Group,Sometimes,8516.247486,To go sightseeing,1,2025,Summer
GEN24_1087289,Auckland,Canada,Canada,Male,No,Auckland airport,2024-12-07,44,No,75 or older,Tour Group,NA,5046.14429,To visit family,12,2024,Summer
GEN24_1087291,Auckland,Canada,Canada,Male,Yes,Auckland airport,2025-01-01,19,No,65 - 69,Independent Traveller,Always,4113.037317,Just for the holiday,1,2025,Summer
GEN24_1087307,Auckland,"China, People's Republic of",China,Male,Yes,Auckland airport,2025-01-10,10,No,30 - 34,Independent Traveller,Sometimes,3113.636383,For your honeymoon,1,2025,Summer
GEN24_1087312,Auckland,Australia,Australia,Female,No,Auckland airport,2025-01-17,3,No,65 - 69,Independent Traveller,Sometimes,2173.399238,Holiday - Other,1,2025,Summer
GEN24_1087324,Auckland,Scotland,UK,Male,No,Auckland airport,2025-01-08,13,No,60 - 64,Independent Traveller,Sometimes,2440.117533,To visit family,1,2025,Summer
GEN24_1087363,Christchurch,Spain,Rest of Europe,Male,Yes,Auckland airport,2025-01-07,14,Yes,30 - 34,Package,Always,4468.438196,For your honeymoon,1,2025,Summer
GEN24_1087372,Auckland,Australia,Australia,Male,Yes,Auckland airport,2025-01-06,15,No,65 - 69,Independent Traveller,Rarely,6266.665483,To visit family,1,2025,Summer
GEN24_1087374,Christchurch,Fiji,Rest of Oceania,Female,No,Christchurch airport,2024-12-07,45,No,35 - 39,Independent Traveller,Most of the time,940,To visit family,12,2024,Summer
GEN24_1087387,Christchurch,Australia,Australia,Female,No,Christchurch airport,2025-01-16,5,No,35 - 39,Independent Traveller,Most of the time,331.6479,"For a wedding, funeral, other family occasion",1,2025,Summer
GEN24_1087390,Auckland,England,UK,Female,No,Christchurch airport,2025-01-03,18,Yes,55 - 59,Tour Group,Not sure,2872.683823,To visit family,1,2025,Summer
GEN24_1087391,Auckland,Germany,Germany,Male,Yes,Christchurch airport,2024-12-24,28,No,45 - 49,Independent Traveller,Rarely,7425,Just for the holiday,12,2024,Summer
GEN24_1087401,Christchurch,Germany,Germany,Male,Yes,Christchurch airport,2025-01-09,12,No,50 - 54,Independent Traveller,Sometimes,5930.405333,To visit family,1,2025,Summer
GEN24_1087402,Christchurch,Scotland,UK,Male,No,Christchurch airport,2024-11-15,67,No,70 - 74,Independent Traveller,NA,5989.3794,To visit family,11,2024,Spring
GEN24_1087407,Christchurch,Australia,Australia,Female,No,Christchurch airport,2025-01-16,5,Yes,75 or older,Package,Most of the time,442.1972,To visit family,1,2025,Summer
GEN24_1087421,Christchurch,Germany,Germany,Female,No,Auckland airport,2024-12-02,50,No,60 - 64,Independent Traveller,NA,11212.17258,Just for the holiday,12,2024,Summer
GEN24_1087423,Christchurch,Germany,Germany,Female,No,Christchurch airport,2024-12-24,28,No,40 - 44,Independent Traveller,Most of the time,3706.503333,Just for the holiday,12,2024,Summer
GEN24_1087430,Auckland,United States of America,USA,Male,Yes,Auckland airport,2025-01-06,15,No,25 - 29,Independent Traveller,Not sure,2520.365467,Other,1,2025,Summer
