response_id,experience_more_maori_culture,improve_maori_culture_understanding,enjoy_maori_culture_experience
GEN24_1001700,Don't know / Not sure,NA,NA
GEN24_1001701,Agree,NA,NA
GEN24_1001702,Don't know / Not sure,Agree,Agree
GEN24_1001705,Disagree,NA,NA
GEN24_1001711,Agree,NA,NA
GEN24_1001717,Agree,NA,NA
GEN24_1001718,Disagree,NA,NA
GEN24_1001727,Disagree,NA,NA
GEN24_1001728,Don't know / Not sure,Agree,Agree
GEN24_1001733,Don't know / Not sure,NA,NA
GEN24_1001738,Disagree,NA,NA
GEN24_1001740,Disagree,NA,NA
GEN24_1001742,Disagree,NA,NA
GEN24_1001746,Don't know / Not sure,NA,NA
GEN24_1001747,Agree,NA,NA
GEN24_1001749,Don't know / Not sure,Disagree,Agree
GEN24_1001755,Don't know / Not sure,NA,NA
GEN24_1001757,Agree,NA,NA
GEN24_1001758,Agree,NA,NA
GEN24_1001762,Don't know / Not sure,NA,NA
GEN24_1001763,Disagree,NA,NA
GEN24_1001764,Agree,NA,NA
GEN24_1001765,Agree,Agree,Agree
GEN24_1001766,Agree,Agree,Agree
GEN24_1001771,Agree,NA,NA
GEN24_1001773,Don't know / Not sure,NA,NA
GEN24_1001775,Disagree,NA,NA
GEN24_1001779,Agree,NA,NA
GEN24_1001782,Agree,NA,NA
GEN24_1001785,Don't know / Not sure,NA,NA
GEN24_1001790,Disagree,NA,NA
GEN24_1001791,Agree,NA,NA
GEN24_1001793,Don't know / Not sure,Agree,Agree
GEN24_1001794,Disagree,NA,NA
GEN24_1001796,Agree,NA,NA
GEN24_1001797,Disagree,NA,NA
GEN24_1001798,Agree,NA,NA
GEN24_1001803,Disagree,NA,NA
GEN24_1001805,Agree,NA,NA
GEN24_1001806,Disagree,NA,NA
GEN24_1001809,Don't know / Not sure,NA,Agree
GEN24_1001810,Don't know / Not sure,NA,NA
GEN24_1001811,Don't know / Not sure,NA,NA
GEN24_1001813,Disagree,NA,NA
GEN24_1001818,Agree,NA,NA
GEN24_1001819,Disagree,NA,NA
GEN24_1001822,Agree,NA,NA
GEN24_1001826,Agree,NA,NA
GEN24_1001835,Don't know / Not sure,NA,NA
GEN24_1001841,Agree,Agree,Agree
GEN24_1001843,Agree,NA,NA
GEN24_1001844,Don't know / Not sure,NA,NA
GEN24_1001848,Agree,NA,NA
GEN24_1001851,Agree,Agree,Agree
GEN24_1001852,Agree,NA,NA
GEN24_1001853,Agree,NA,NA
GEN24_1001854,Don't know / Not sure,NA,NA
GEN24_1001855,Disagree,NA,NA
GEN24_1001856,Don't know / Not sure,NA,NA
GEN24_1001857,Agree,NA,NA
GEN24_1001862,Agree,Agree,Agree
GEN24_1001864,Agree,Agree,Agree
GEN24_1001865,Agree,NA,NA
GEN24_1001866,Agree,NA,Agree
GEN24_1001872,Disagree,NA,NA
GEN24_1001881,Disagree,NA,NA
GEN24_1001884,Don't know / Not sure,NA,NA
GEN24_1001885,Agree,NA,NA
GEN24_1001887,Agree,NA,NA
GEN24_1001889,Don't know / Not sure,NA,NA
GEN24_1001893,Agree,NA,NA
GEN24_1001901,Agree,NA,NA
GEN24_1001904,Don't know / Not sure,NA,NA
GEN24_1001906,Disagree,NA,NA
GEN24_1001908,Agree,NA,NA
GEN24_1001915,Agree,NA,NA
GEN24_1001917,Agree,Agree,Agree
GEN24_1001918,Don't know / Not sure,NA,NA
GEN24_1001921,Don't know / Not sure,Agree,Agree
GEN24_1001924,Agree,Agree,Agree
GEN24_1001930,Agree,NA,NA
GEN24_1001932,Don't know / Not sure,NA,NA
GEN24_1001933,Disagree,NA,NA
GEN24_1001934,Agree,Agree,Agree
GEN24_1001935,Disagree,NA,NA
GEN24_1001936,Don't know / Not sure,NA,NA
GEN24_1001940,Disagree,NA,NA
GEN24_1001943,Agree,Agree,Agree
GEN24_1001944,Agree,Agree,Agree
GEN24_1001945,Agree,NA,NA
GEN24_1001948,Agree,NA,NA
GEN24_1001951,Agree,NA,NA
GEN24_1001955,Agree,NA,NA
GEN24_1001961,Don't know / Not sure,NA,NA
GEN24_1001963,Don't know / Not sure,NA,NA
GEN24_1001971,Disagree,NA,NA
GEN24_1001972,Agree,NA,NA
GEN24_1001975,Agree,NA,NA
GEN24_1001976,Agree,NA,NA
GEN24_1001984,Agree,NA,NA
GEN24_1001985,Disagree,NA,NA
GEN24_1001986,Agree,NA,NA
GEN24_1001987,Don't know / Not sure,NA,NA
GEN24_1001988,Disagree,NA,NA
GEN24_1001992,Don't know / Not sure,NA,NA
GEN24_1001993,Don't know / Not sure,NA,NA
GEN24_1001998,Agree,Agree,Agree
GEN24_1002000,Agree,Agree,Agree
GEN24_1002003,Don't know / Not sure,NA,NA
GEN24_1002005,Agree,NA,NA
GEN24_1002007,Disagree,NA,NA
GEN24_1002009,Agree,NA,NA
GEN24_1002010,Agree,NA,NA
GEN24_1002011,Agree,NA,NA
GEN24_1002013,Agree,NA,NA
GEN24_1002016,Agree,NA,NA
GEN24_1002017,Disagree,NA,NA
GEN24_1002018,Don't know / Not sure,NA,NA
GEN24_1002020,Don't know / Not sure,NA,NA
GEN24_1002021,Agree,NA,NA
GEN24_1002022,Don't know / Not sure,NA,NA
GEN24_1002025,Agree,Agree,Agree
GEN24_1002026,Disagree,NA,NA
GEN24_1002027,Don't know / Not sure,NA,NA
GEN24_1002030,Don't know / Not sure,NA,NA
GEN24_1002031,Disagree,NA,NA
GEN24_1002032,Agree,NA,NA
GEN24_1002035,Agree,Agree,Agree
GEN24_1002037,Disagree,NA,NA
GEN24_1002039,Disagree,NA,NA
GEN24_1002042,Disagree,NA,NA
GEN24_1002043,Don't know / Not sure,NA,NA
GEN24_1002046,Agree,NA,NA
GEN24_1002050,Agree,NA,NA
GEN24_1002052,Agree,NA,NA
GEN24_1002065,Agree,NA,NA
GEN24_1002072,Don't know / Not sure,Agree,Agree
GEN24_1002077,Disagree,NA,NA
GEN24_1002078,Agree,NA,NA
GEN24_1002079,Disagree,NA,NA
GEN24_1002083,Agree,NA,NA
GEN24_1002088,Agree,NA,NA
GEN24_1002089,Agree,NA,NA
GEN24_1002092,Don't know / Not sure,NA,NA
GEN24_1002093,Disagree,NA,NA
GEN24_1002094,Don't know / Not sure,NA,NA
GEN24_1002095,Disagree,NA,NA
GEN24_1002096,Agree,NA,NA
GEN24_1002110,Agree,NA,NA
GEN24_1002111,Don't know / Not sure,NA,NA
GEN24_1002113,Disagree,NA,NA
GEN24_1002114,Don't know / Not sure,NA,NA
GEN24_1002119,Agree,NA,NA
GEN24_1002121,Disagree,NA,NA
